Source.Name,Country,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,12,2024-12-13,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,12,2024-12-20,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2024,12,2024-12-27,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2025,1,2025-01-03,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2025,1,2025-01-10,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2025,1,2025-01-17,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2025,1,2025-01-24,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2025,1,2025-01-31,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2025,2,2025-02-07,9
02.20.2026 Baker Hughes Rig File.xlsx,UNITED STATES,NORTH SLOPE,Other,No,Oil,Land,ALASKA,Directional,2025,2,2025-02-14,9
